DATE,KEYWORDS,TITLE,DESCRIPTION,URL
7/22/2024,cybersecurity%20healthcare,How a faulty CrowdStrike update crashed computers around the world,"All it took was one faulty CrowdStrike software update to cause global disruptions on July 19 that grounded flights, knocked banks and media outlets offline, and disrupted hospitals, retailers and other services. Read full story",https://www.thestar.com.my/tech/tech-news/2024/07/22/how-a-faulty-crowdstrike-update-crashed-computers-around-the-world
7/22/2024,cybersecurity%20healthcare,Firms hit by huge IT outage warned to be wary of scammers,Firms impacted by the recent global IT outage are being warned to be wary of scammers and hackers looking to take advantage of the situation.,https://www.digitaltrends.com/computing/firms-hit-by-huge-it-outage-warned-to-be-wary-of-scammers/
7/22/2024,cybersecurity%20healthcare,8.5 million devices affected by CrowdStrik outage: Microsoft,"A view shows a Microsoft logo at Microsoft offices in Issy-les-Moulineaux near Paris, France, March 25, 2024. — ReutersA global tech outage related to a software update by cybersecurity firm CrowdStrike opened a new tab that affected nearly 8.5 million Microsoft, opening new...",https://www.thenews.com.pk/latest/1212076-85-million-devices-affected-by-crowdstrik-outage-microsoft
7/22/2024,cybersecurity%20healthcare,Here's Why This Country Was Unaffected By Microsoft Outage Triggered By CrowdStrike? Know Reason Here,"China's airlines and banks were not impacted by the tech glitch, and operations at Beijing's airports remained normal, according to Chinese state media.",https://zeenews.india.com/technology/microsoft-global-outage-why-china-was-unaffected-by-microsoft-outage-triggered-by-crowdstrike-2768761.html
7/22/2024,cybersecurity%20healthcare,Microsoft Outage: 8.5 Million Devices Affected By CrowdStrike Update,A software update by the cybersecurity firm CrowdStrike caused widespread system problems worldwide.,https://zeenews.india.com/technology/microsoft-outage-8-5-million-devices-affected-by-crowdstrike-update-2768671.html
7/22/2024,cybersecurity%20healthcare,CrowdStrike failure highlights fragility of globally connected technology,"Airlines, banks, hospitals and other risk-averse organizations around the world chose cybersecurity company CrowdStrike to protect their computer systems from hackers and data breaches.But all it took...",https://japantoday.com/category/tech/crowdstrike-failure-highlights-the-fragility-of-globally-connected-technology
7/22/2024,cybersecurity%20healthcare,Microsoft says about 8.5 million of its devices affected by CrowdStrike-related outage,"(Reuters): A global tech outage that was related to a software update by cybersecurity firm CrowdStrike affected nearly 8.5 million Microsoft devices, Microsoft said in a blog post on Saturday. “We currently estimate that CrowdStrike’s update affected 8.5 million Windows devices, or less than one percent of all Windows machines,” it said in the blog. [...]",https://thefrontierpost.com/microsoft-says-about-8-5-million-of-its-devices-affected-by-crowdstrike-related-outage/
7/22/2024,cybersecurity%20healthcare,Microsoft says 8.5m of its devices affected by outage,A global tech outage affected nearly 8.5 million Microsoft devices.,https://thewest.com.au/technology/telecommunications/microsoft-says-85m-of-its-devices-affected-by-outage-c-15421862
7/22/2024,cybersecurity%20healthcare,How a faulty CrowdStrike update crashed computers around the world,"Airlines, banks, hospitals and other risk-averse organizations around the world chose cybersecurity company CrowdStrike to protect their computer systems from hackers and data breaches. But all it took was one faulty CrowdStrike software update to cause global disruptions Friday that...",https://kdhnews.com/business/technology/how-a-faulty-crowdstrike-update-crashed-computers-around-the-world/article_cc26eaf1-14b1-5fc2-9acd-7593405313d8.html
7/22/2024,cybersecurity%20healthcare,How a faulty CrowdStrike update crashed computers around the world,"All it took was one faulty CrowdStrike software update to cause global disruptions on July 19 that grounded flights, knocked banks and media outlets offline, and disrupted hospitals, retailers and other services. Read full story",https://www.thestar.com.my/tech/tech-news/2024/07/22/how-a-faulty-crowdstrike-update-crashed-computers-around-the-world
